(-0.03,-2.99)
(-0.63,-2.53)
(-0.66,-2.50)
(-1.51,-1.24)
(-1.52,-1.21)
(-1.74,-1.29)
(-1.95,-1.36)
(-2.17,-1.45)
(-2.38,-1.52)
(-2.60,-1.60)
(-2.82,-1.68)
(-3.03,-1.76)
(-3.01,-1.79)
(-3.19,-1.93)
(-3.37,-2.08)
(-3.55,-2.22)
(-3.72,-2.36)
(-3.69,-2.39)
(-3.82,-2.58)
(-3.94,-2.77)
(-3.90,-2.78)
(-3.96,-3.00)
(-4.00,-3.00)
